epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,467.824,1.06851,0.70936,1.13419,0.71202,0.80203,0.74024,0.37237,1.77963,1.14779,1.64562,0.000594286,0.000594286,0.000594286
67,479.998,1.03265,0.7062,1.11179,0.69246,0.78864,0.74378,0.40829,1.67103,1.11417,1.6397,0.000577782,0.000577782,0.000577782
68,492.154,1.02285,0.67792,1.11392,0.71461,0.80078,0.76716,0.41716,1.64586,1.09964,1.5952,0.000561279,0.000561279,0.000561279
69,504.034,1.01471,0.66439,1.1252,0.71433,0.75127,0.75943,0.40954,1.64224,1.13543,1.60645,0.000544776,0.000544776,0.000544776
70,515.979,1.00713,0.66541,1.10776,0.74533,0.76142,0.77038,0.42617,1.62877,1.10783,1.59555,0.000528272,0.000528272,0.000528272
71,528.078,0.98845,0.68949,1.11723,0.75002,0.79194,0.75556,0.40226,1.69074,1.14055,1.65859,0.000511769,0.000511769,0.000511769
72,539.794,0.96681,0.65859,1.08417,0.74673,0.79188,0.75556,0.39737,1.6947,1.12235,1.65624,0.000495266,0.000495266,0.000495266
73,551.532,0.99294,0.65741,1.11184,0.78068,0.73096,0.77375,0.41103,1.72078,1.19648,1.64743,0.000478762,0.000478762,0.000478762
74,563.347,1.00057,0.67617,1.10944,0.76898,0.7665,0.76468,0.41179,1.66799,1.08604,1.64444,0.000462259,0.000462259,0.000462259
75,575.388,1.00103,0.67713,1.11516,0.72417,0.77157,0.74713,0.39627,1.69893,1.10464,1.64729,0.000445756,0.000445756,0.000445756
76,587.31,0.94444,0.62472,1.07207,0.74547,0.74619,0.75685,0.39392,1.66762,1.09304,1.59866,0.000429253,0.000429253,0.000429253
77,599.298,0.93889,0.6407,1.08052,0.72839,0.77596,0.73202,0.38453,1.72161,1.13191,1.65081,0.000412749,0.000412749,0.000412749
78,610.839,0.96947,0.63215,1.0881,0.78519,0.73096,0.76188,0.42025,1.63237,1.04337,1.59572,0.000396246,0.000396246,0.000396246
79,622.795,0.94388,0.64526,1.06619,0.7536,0.78173,0.7468,0.38762,1.74307,1.07412,1.68311,0.000379743,0.000379743,0.000379743
80,634.856,0.96423,0.62999,1.0942,0.76506,0.79188,0.75397,0.40735,1.65658,1.0448,1.62301,0.000363239,0.000363239,0.000363239
81,646.586,0.92705,0.60934,1.07325,0.76773,0.77665,0.74669,0.40844,1.67472,1.08492,1.63645,0.000346736,0.000346736,0.000346736
82,658.326,0.92964,0.60799,1.06644,0.72134,0.80203,0.76527,0.40553,1.64928,1.11446,1.61358,0.000330233,0.000330233,0.000330233
83,670.324,0.92687,0.6038,1.05818,0.73232,0.80547,0.76981,0.41711,1.62802,1.10059,1.63392,0.000313729,0.000313729,0.000313729
84,682.341,0.90865,0.60777,1.06981,0.75439,0.78173,0.76951,0.40713,1.68099,1.12087,1.67042,0.000297226,0.000297226,0.000297226
85,694.106,0.90048,0.58131,1.05941,0.74557,0.78837,0.76878,0.40446,1.68478,1.08446,1.68035,0.000280723,0.000280723,0.000280723
86,705.89,0.91476,0.60993,1.05933,0.76424,0.77339,0.76794,0.4052,1.69891,1.08079,1.67946,0.00026422,0.00026422,0.00026422
87,717.821,0.89429,0.59455,1.05099,0.76752,0.77089,0.77059,0.40278,1.72916,1.12268,1.66066,0.000247716,0.000247716,0.000247716
88,729.542,0.9025,0.59652,1.06879,0.80289,0.74438,0.76261,0.41068,1.7084,1.1054,1.64057,0.000231213,0.000231213,0.000231213
89,741.225,0.88176,0.58507,1.05163,0.76232,0.79188,0.7682,0.41198,1.69313,1.0769,1.66369,0.00021471,0.00021471,0.00021471
90,753.359,0.85599,0.57247,1.03489,0.74736,0.78173,0.75198,0.40816,1.70074,1.07955,1.68445,0.000198206,0.000198206,0.000198206
91,800.702,0.87378,0.56351,1.0298,0.74253,0.79695,0.73214,0.38341,1.70601,1.12273,1.68487,0.000181703,0.000181703,0.000181703
92,812.743,0.82087,0.50312,0.99858,0.76007,0.78173,0.74124,0.38582,1.67959,1.11137,1.69716,0.0001652,0.0001652,0.0001652
93,824.523,0.80695,0.49341,0.99071,0.74254,0.80521,0.73421,0.38439,1.72754,1.09251,1.71593,0.000148696,0.000148696,0.000148696
94,836.266,0.81508,0.49343,0.99646,0.76584,0.77157,0.75463,0.38727,1.69991,1.09376,1.71496,0.000132193,0.000132193,0.000132193
95,848.201,0.79223,0.48066,0.98387,0.77119,0.79188,0.77285,0.40051,1.70224,1.07201,1.70599,0.00011569,0.00011569,0.00011569
96,860.109,0.77459,0.47318,0.9858,0.78592,0.79188,0.76992,0.40058,1.68254,1.06614,1.70723,9.91865e-05,9.91865e-05,9.91865e-05
97,872.133,0.75981,0.4721,0.97277,0.78129,0.79188,0.76283,0.40683,1.68273,1.06289,1.70349,8.26832e-05,8.26832e-05,8.26832e-05
98,883.831,0.74887,0.45497,0.96851,0.75253,0.7868,0.75373,0.39711,1.69843,1.07328,1.71929,6.61799e-05,6.61799e-05,6.61799e-05
99,895.516,0.75646,0.46047,0.98541,0.75178,0.79188,0.75273,0.39806,1.67643,1.08577,1.69913,4.96766e-05,4.96766e-05,4.96766e-05
100,907.556,0.75583,0.46488,0.97712,0.74103,0.80203,0.75243,0.40039,1.66305,1.08765,1.68844,3.31733e-05,3.31733e-05,3.31733e-05
